chain,rep,condition,session,tokens,output,cost,wallSeconds,toolCalls
05-import-lazy,rep4,agentsmd,recall,64568,964,0.01251,21.0,13
05-import-lazy,rep5,canon,s1,28342,1619,0.00434,35.6,13
05-import-lazy,rep5,canon,s2,19855,1641,0.00393,37.0,9
05-import-lazy,rep5,canon,s3,55138,2597,0.0063,65.0,21
05-import-lazy,rep5,canon,recall,72852,957,0.0138,25.8,14
05-import-lazy,rep5,canondoc,s1,53386,1988,0.00617,44.1,17
05-import-lazy,rep5,canondoc,s2,20133,1440,0.00344,31.4,9
05-import-lazy,rep5,canondoc,s3,77893,3226,0.00859,70.5,20
05-import-lazy,rep5,canondoc,recall,13991,987,0.00216,24.8,7
05-import-lazy,rep5,bare,s1,15936,665,0.00218,19.0,5
05-import-lazy,rep5,bare,s2,13827,1190,0.00292,25.8,6
05-import-lazy,rep5,bare,s3,42615,2137,0.00524,46.1,18
05-import-lazy,rep5,bare,recall,61006,1025,0.01262,19.6,9
05-import-lazy,rep5,agentsmd,s1,41378,1442,0.00449,29.6,13
05-import-lazy,rep5,agentsmd,s2,23504,1239,0.00298,25.4,7
05-import-lazy,rep5,agentsmd,s3,43610,1775,0.00506,44.6,20
05-import-lazy,rep5,agentsmd,recall,59812,841,0.01166,18.0,8
